trial_id	kind	target_mode	adapter	loss	steps	val_cd	best_cd	runtime_sec	status	notes	out_dir
p1_oracle_anchor_frustum_s2_step600	oracle	anchor_frustum	tokens	oracle_flow	600	0.23668508	0.23668508	36.6	keep	oracle sanity for anchor-camera image frustum target	experiments/probe3d/result/probe_trials/p1_oracle_anchor_frustum_s2_step600
p1_oracle_anchor_margin15_s2_step600	oracle	anchor_frustum_margin	tokens	oracle_flow	600	0.81146899	0.81146899	35.7	keep	oracle sanity for expanded anchor frustum margin=1.5	experiments/probe3d/result/probe_trials/p1_oracle_anchor_margin15_s2_step600
p1_oracle_covered_ge2_s2_step600	oracle	covered_by_ge2	tokens	oracle_flow	600	0.18723274	0.18723274	34.9	keep	oracle sanity for points covered by at least two input frusta	experiments/probe3d/result/probe_trials/p1_oracle_covered_ge2_s2_step600
p1_adapter_covered_ge2_mlp_l4_step1000	adapter	covered_by_ge2	mlp_l4_h1024	nova_flow	1000	2.30984740	2.30984740	0.0	invalid	stopped: src_complete fallback to src_view contaminated target; need robust target fallback or filtering	experiments/probe3d/result/probe_trials/p1_adapter_covered_ge2_mlp_l4_step1000
p1_adapter_anchor_frustum_mlp_l4_step1000	adapter	anchor_frustum	mlp_l4_h1024	nova_flow	1000	0.34512938	0.34512938	808.6	keep	first adapter check only after oracle target is plausible	experiments/probe3d/result/probe_trials/p1_adapter_anchor_frustum_mlp_l4_step1000
p1_oracle_covered_ge2_anchorfb_s2_step600	oracle	covered_by_ge2_anchorfb	tokens	oracle_flow	600	0.20196436	0.20196436	36.0	keep	oracle sanity for covered_by_ge2 with anchor fallback when target support is empty	experiments/probe3d/result/probe_trials/p1_oracle_covered_ge2_anchorfb_s2_step600
p1_adapter_covered_ge2_anchorfb_mlp_l4_step1000	adapter	covered_by_ge2_anchorfb	mlp_l4_h1024	nova_flow	1000	2.06005195	2.06005195	767.6	keep	adapter check for covered_by_ge2 target with anchor fallback to avoid src_view contamination	experiments/probe3d/result/probe_trials/p1_adapter_covered_ge2_anchorfb_mlp_l4_step1000
p1_adapter_anchor_frustum_mlp_l2_h512_step1000	adapter	anchor_frustum	mlp_l2_h512	nova_flow	1000	0.30276422	0.30276422	1064.1	keep	lightweight adapter check on stable anchor_frustum target	experiments/probe3d/result/probe_trials/p1_adapter_anchor_frustum_mlp_l2_h512_step1000
p1_adapter_anchor_frustum_mlp_l4_chamfer_step1000	adapter	anchor_frustum	mlp_l4_h1024	chamfer_sample	1000			0.0	invalid	stopped early: chamfer_sample branch bypassed DDP wrapper so rank gradients were not synchronized; rerun with ddpfix trial	experiments/probe3d/result/probe_trials/p1_adapter_anchor_frustum_mlp_l4_chamfer_step1000
p1_adapter_anchor_frustum_mlp_l4_chamfer_ddpfix_8gpu_resume_step1000	adapter	anchor_frustum	mlp_l4_h1024	chamfer_sample	1000	0.11552816	0.11552816	619.8	keep	8-GPU NCCL resume from pre-reboot ddpfix step500 checkpoint; completes direct Chamfer objective check to step1000	experiments/probe3d/result/probe_trials/p1_adapter_anchor_frustum_mlp_l4_chamfer_ddpfix_8gpu_resume_step1000
p1_adapter_anchor_frustum_mlp_l4_chamfer_8gpu_resume_step2000	adapter	anchor_frustum	mlp_l4_h1024	chamfer_sample	2000	0.09181590	0.09181590	1080.1	keep	Continue best direct Chamfer anchor_frustum MLP-L4 run from step1000 to step2000 to test whether val CD breaks below 0.1	experiments/probe3d/result/probe_trials/p1_adapter_anchor_frustum_mlp_l4_chamfer_8gpu_resume_step2000
p1_adapter_anchor_frustum_mlp_l4_chamfer_8gpu_resume_step3000	adapter	anchor_frustum	mlp_l4_h1024	chamfer_sample	3000	0.35143724	0.35143724	0.0	stopped	stopped early: after good step2000=0.09181590, continuation became unstable/overfit by step2500=0.35143724; preserve step2000 checkpoint as current best	experiments/probe3d/result/probe_trials/p1_adapter_anchor_frustum_mlp_l4_chamfer_8gpu_resume_step3000
p1_adapter_anchor_frustum_mlp_l4_chamfer_lr1e5_refine_step2500	adapter	anchor_frustum	mlp_l4_h1024	chamfer_sample	2500	0.08745259	0.08745259	554.8	keep	Low-LR refinement from stable step2000 checkpoint after lr5e-5 continuation overfit at step2500	experiments/probe3d/result/probe_trials/p1_adapter_anchor_frustum_mlp_l4_chamfer_lr1e5_refine_step2500
p1_adapter_anchor_frustum_mlp_l4_chamfer_lr1e5_refine_step3000	adapter	anchor_frustum	mlp_l4_h1024	chamfer_sample	3000	0.09132496	0.09132496	568.6	keep	Continue stable lr1e-5 refinement from step2500=0.08745259 to step3000	experiments/probe3d/result/probe_trials/p1_adapter_anchor_frustum_mlp_l4_chamfer_lr1e5_refine_step3000
p2_oracle_nova_input_frustum_k1_fps4096_s2_step400	oracle	nova_input_frustum	tokens	oracle_flow	400	0.47663970	0.47663970	35.5	keep	paper-aligned K=1 input-frustum complete target; FPS-style query sampling; oracle generator-support sanity	experiments/probe3d/result/probe_trials/p2_oracle_nova_input_frustum_k1_fps4096_s2_step400
p2_oracle_nova_input_frustum_k2_fps4096_s2_step400	oracle	nova_input_frustum	tokens	oracle_flow	400	1.32879451	1.32879451	35.2	keep	paper-aligned K=2 union-of-input-frusta complete target; FPS-style query sampling; oracle generator-support sanity	experiments/probe3d/result/probe_trials/p2_oracle_nova_input_frustum_k2_fps4096_s2_step400
p2_oracle_nova_input_frustum_k1_fps2048_s2_step600	oracle	nova_input_frustum	tokens	oracle_flow	600	0.71152258	0.71152258	34.2	keep	paper-aligned K=1 input-frustum target with 2048 FPS queries to isolate whether 4096/20k target made oracle harder	experiments/probe3d/result/probe_trials/p2_oracle_nova_input_frustum_k1_fps2048_s2_step600
p2_oracle_nova_input_frustum_k2_fps2048_s2_step600	oracle	nova_input_frustum	tokens	oracle_flow	600	1.25110945	1.25110945	35.7	keep	paper-aligned K=2 input-frustum target with 2048 FPS queries to isolate whether 4096/20k target made oracle harder	experiments/probe3d/result/probe_trials/p2_oracle_nova_input_frustum_k2_fps2048_s2_step600
p2_oracle_nova_input_frustum_k1_srccomplete_s2_step600	oracle	nova_input_frustum	tokens	oracle_flow	600	0.47283707	0.47283707	35.4	keep	control: paper-aligned K=1 target but default NOVA query_source src_complete; isolates FPS query-source effect	experiments/probe3d/result/probe_trials/p2_oracle_nova_input_frustum_k1_srccomplete_s2_step600
p2_oracle_anchor_frustum_k1_srccomplete_s2_step600	oracle	anchor_frustum	tokens	oracle_flow	600	0.55299810	0.55299810	34.8	keep	control: old anchor_frustum semantics with K=1 and default src_complete, should match nova_input_frustum K=1 if alias is correct	experiments/probe3d/result/probe_trials/p2_oracle_anchor_frustum_k1_srccomplete_s2_step600
p2_oracle_anchor_frustum_k1_fps4096_s2_step400	oracle	anchor_frustum	tokens	oracle_flow	400	0.50800481	0.50800481	34.9	keep	control: old anchor_frustum target with same FPS-4096 query_source as paper-aligned K=1 run	experiments/probe3d/result/probe_trials/p2_oracle_anchor_frustum_k1_fps4096_s2_step400
p2_oracle_nova_per_view_frustum_k4_fps4096_s2_step400	oracle	nova_per_view_frustum	tokens	oracle_flow	400	1.60226032	1.60226032	35.9	keep	control: literal per-view complete frustum targets for all 4 inputs, mode=nova_per_view_frustum	experiments/probe3d/result/probe_trials/p2_oracle_nova_per_view_frustum_k4_fps4096_s2_step400
p2_oracle_nova_per_view_frustum_anchor_zpos_k4_fps4096_s2_step400	oracle	nova_per_view_frustum_anchor_zpos	tokens	oracle_flow	400	0.96107247	0.96107247	36.0	keep	control: literal per-view complete frustum targets for all 4 inputs, mode=nova_per_view_frustum_anchor_zpos	experiments/probe3d/result/probe_trials/p2_oracle_nova_per_view_frustum_anchor_zpos_k4_fps4096_s2_step400
p2_oracle_nova_input_frustum_k4_srccomplete_s2_step600	oracle	nova_input_frustum	tokens	oracle_flow	600	0.76918410	0.76918410	36.2	keep	control: 4-view union-of-input-frusta target with query source src_complete	experiments/probe3d/result/probe_trials/p2_oracle_nova_input_frustum_k4_srccomplete_s2_step600
p2_oracle_nova_input_frustum_k4_fps4096_s2_step400	oracle	nova_input_frustum	tokens	oracle_flow	400	1.33148026	1.33148026	35.7	keep	control: 4-view union-of-input-frusta target with query source src_complete_fps_4096	experiments/probe3d/result/probe_trials/p2_oracle_nova_input_frustum_k4_fps4096_s2_step400
p2_adapter_anchor_frustum_mlp_l4_flow_chamfer01_step1000	adapter	anchor_frustum	mlp_l4_h1024	flow_chamfer_hybrid	1000			0.0	stopped	stopped at user methodological correction: anchor_frustum is not aligned with NOVA3R multi-view GT construction; keep only as diagnostic, not final probe target	experiments/probe3d/result/probe_trials/p2_adapter_anchor_frustum_mlp_l4_flow_chamfer01_step1000
p3_oracle_norm_nova_per_view_frustum_anchor_zpos_k2_fps8192_s2_step400	oracle	nova_per_view_frustum_anchor_zpos	tokens	oracle_flow	400	1.03375405	1.03375405	56.1	keep	official-config audit: target normalized by checkpoint norm_mode=median_3; nova_per_view_frustum_anchor_zpos, K=2, FPS8192 matching decoder sample_size	experiments/probe3d/result/probe_trials/p3_oracle_norm_nova_per_view_frustum_anchor_zpos_k2_fps8192_s2_step400
p3_oracle_norm_nova_per_view_frustum_anchor_zpos_k4_fps8192_s2_step400	oracle	nova_per_view_frustum_anchor_zpos	tokens	oracle_flow	400	1.11187464	1.11187464	57.3	keep	official-config audit: target normalized by checkpoint norm_mode=median_3; nova_per_view_frustum_anchor_zpos, K=4, FPS8192 matching decoder sample_size	experiments/probe3d/result/probe_trials/p3_oracle_norm_nova_per_view_frustum_anchor_zpos_k4_fps8192_s2_step400
p3_oracle_norm_nova_input_frustum_k4_fps8192_s2_step400	oracle	nova_input_frustum	tokens	oracle_flow	400	0.71573836	0.71573836	57.0	keep	official-config audit: target normalized by checkpoint norm_mode=median_3; nova_input_frustum, K=4, FPS8192 matching decoder sample_size	experiments/probe3d/result/probe_trials/p3_oracle_norm_nova_input_frustum_k4_fps8192_s2_step400
p3_oracle_norm_nova_per_view_ldi4_k2_fps8192_s2_step400	oracle	nova_per_view_ldi4	tokens	oracle_flow	400	0.95765531	0.95765531	56.2	keep	LDI-style mesh reservoir target: per-view image-plane layered depth sampling, norm_mode median_3, K=2	experiments/probe3d/result/probe_trials/p3_oracle_norm_nova_per_view_ldi4_k2_fps8192_s2_step400
p3_oracle_norm_nova_per_view_ldi4_k4_fps8192_s2_step400	oracle	nova_per_view_ldi4	tokens	oracle_flow	400	0.69602421	0.69602421	57.3	keep	LDI-style mesh reservoir target: per-view image-plane layered depth sampling, norm_mode median_3, K=4	experiments/probe3d/result/probe_trials/p3_oracle_norm_nova_per_view_ldi4_k4_fps8192_s2_step400
p3_oracle_norm_nova_per_view_ldi4_k4_fps4096_s2_step600	oracle	nova_per_view_ldi4	tokens	oracle_flow	600	0.60717698	0.60717698	50.1	keep	norm_mode median_3, K4, FPS4096 target size closer to adapter SCRREAM pseudo-GT, mode=nova_per_view_ldi4	experiments/probe3d/result/probe_trials/p3_oracle_norm_nova_per_view_ldi4_k4_fps4096_s2_step600
p3_oracle_norm_nova_input_frustum_k4_fps4096_s2_step600	oracle	nova_input_frustum	tokens	oracle_flow	600	0.41067419	0.41067419	50.1	keep	norm_mode median_3, K4, FPS4096 target size closer to adapter SCRREAM pseudo-GT, mode=nova_input_frustum	experiments/probe3d/result/probe_trials/p3_oracle_norm_nova_input_frustum_k4_fps4096_s2_step600
p3_oracle_norm_nova_input_frustum_k4_fps4096_s2_step2000	oracle	nova_input_frustum	tokens	oracle_flow	2000	0.24589425	0.24589425	148.1	keep	longer oracle support test after restoring checkpoint norm_mode=median_3, mode=nova_input_frustum	experiments/probe3d/result/probe_trials/p3_oracle_norm_nova_input_frustum_k4_fps4096_s2_step2000
p3_oracle_norm_nova_per_view_ldi4_k4_fps4096_s2_step2000	oracle	nova_per_view_ldi4	tokens	oracle_flow	2000	0.29746810	0.29746810	145.6	keep	longer oracle support test after restoring checkpoint norm_mode=median_3, mode=nova_per_view_ldi4	experiments/probe3d/result/probe_trials/p3_oracle_norm_nova_per_view_ldi4_k4_fps4096_s2_step2000
p3_adapter_nova_per_view_ldi4_k4_mlp_l4_flow_fps4096_step1000	adapter	nova_per_view_ldi4	mlp_l4_h1024	nova_flow	1000	1.04477810	1.04477810	780.6	keep	paper-aligned follow-up after norm_mode audit: LDI-style per-view GT, checkpoint norm_mode median_3, native NOVA flow loss only	experiments/probe3d/result/probe_trials/p3_adapter_nova_per_view_ldi4_k4_mlp_l4_flow_fps4096_step1000
p4_oracle_norm_nova_per_view_ldi4_k2_fps4096_s2_step600	oracle	nova_per_view_ldi4	tokens	oracle_flow	600	0.78956747	0.78956747	49.7	keep	test Jiacheng hypothesis: two-view target may preserve more valid complete points / fit NOVA generator better than K4 under LDI-style target	experiments/probe3d/result/probe_trials/p4_oracle_norm_nova_per_view_ldi4_k2_fps4096_s2_step600
p4_oracle_norm_anchor_frustum_k2_fps2048_s2_step600	oracle	anchor_frustum	tokens	oracle_flow	600	0.10993152	0.10993152	35.2	keep	two-view feasibility control on stable anchor target; compare with K4 anchor oracle/adapter path	experiments/probe3d/result/probe_trials/p4_oracle_norm_anchor_frustum_k2_fps2048_s2_step600
p4_k2_anchor_mlp_l4_flow_step1000	adapter	anchor_frustum	mlp_l4_h1024	nova_flow	1000	0.91071419	0.91071419	442.4	keep	K=2 loss ablation with requested MLP-L4-H1024: native NOVA flow only	experiments/probe3d/result/probe_trials/p4_k2_anchor_mlp_l4_flow_step1000
